"epsilon","bools","stable","falsePos","A","B","stableA","controlableA","stabEig","unStabEig","eig",
1,100,100,0,"[-0.488075717995618 -0.49198429888611 -0.195340264026797;0.858338537984793 -0.137563105443852 -0.636319842668624;-0.0664863715791286 0.405060022504686 0.712502232293364]","[0.168402449073197 -0.562011764576333;-0.252842434640205 0.044464886051;-0.556610906463204 -0.133154573024477]",1,1,3,0,-0.1339-0.60454i         -0.1339+0.60454i               0.35466+0i,
1.5,100,99,1,"[-0.488075717995618 -0.49198429888611 -0.195340264026797;0.858338537984793 -0.137563105443852 -0.636319842668624;-0.0664863715791286 0.405060022504686 0.712502232293364]","[0.168402449073197 -0.562011764576333;-0.252842434640205 0.044464886051;-0.556610906463204 -0.133154573024477]",1,1,3,0,-0.1339-0.60454i         -0.1339+0.60454i               0.35466+0i,
2,100,100,0,"[-0.488075717995618 -0.49198429888611 -0.195340264026797;0.858338537984793 -0.137563105443852 -0.636319842668624;-0.0664863715791286 0.405060022504686 0.712502232293364]","[0.168402449073197 -0.562011764576333;-0.252842434640205 0.044464886051;-0.556610906463204 -0.133154573024477]",1,1,3,0,-0.1339-0.60454i         -0.1339+0.60454i               0.35466+0i,
2.2,100,100,0,"[-0.488075717995618 -0.49198429888611 -0.195340264026797;0.858338537984793 -0.137563105443852 -0.636319842668624;-0.0664863715791286 0.405060022504686 0.712502232293364]","[0.168402449073197 -0.562011764576333;-0.252842434640205 0.044464886051;-0.556610906463204 -0.133154573024477]",1,1,3,0,-0.1339-0.60454i         -0.1339+0.60454i               0.35466+0i,
2.4,100,100,0,"[-0.488075717995618 -0.49198429888611 -0.195340264026797;0.858338537984793 -0.137563105443852 -0.636319842668624;-0.0664863715791286 0.405060022504686 0.712502232293364]","[0.168402449073197 -0.562011764576333;-0.252842434640205 0.044464886051;-0.556610906463204 -0.133154573024477]",1,1,3,0,-0.1339-0.60454i         -0.1339+0.60454i               0.35466+0i,
2.6,100,100,0,"[-0.488075717995618 -0.49198429888611 -0.195340264026797;0.858338537984793 -0.137563105443852 -0.636319842668624;-0.0664863715791286 0.405060022504686 0.712502232293364]","[0.168402449073197 -0.562011764576333;-0.252842434640205 0.044464886051;-0.556610906463204 -0.133154573024477]",1,1,3,0,-0.1339-0.60454i         -0.1339+0.60454i               0.35466+0i,
0.5,100,100,0,"[0.482607976597106 0.359760469115814 -0.60033175066585;-0.859100735343177 -0.72669695620284 0.214679843528424;0.694666872794363 0.716804377157373 0.0860899673087763]","[-0.675350615934994 0.52957511251068;-0.988693863746309 -0.157861295276236;0.542970294330818 -0.886373638052735]",1,1,3,0,-0.16233-0.47776i        -0.16233+0.47776i               0.16667+0i,
1,100,100,0,"[0.482607976597106 0.359760469115814 -0.60033175066585;-0.859100735343177 -0.72669695620284 0.214679843528424;0.694666872794363 0.716804377157373 0.0860899673087763]","[-0.675350615934994 0.52957511251068;-0.988693863746309 -0.157861295276236;0.542970294330818 -0.886373638052735]",1,1,3,0,-0.16233-0.47776i        -0.16233+0.47776i               0.16667+0i,
1.5,100,100,0,"[0.482607976597106 0.359760469115814 -0.60033175066585;-0.859100735343177 -0.72669695620284 0.214679843528424;0.694666872794363 0.716804377157373 0.0860899673087763]","[-0.675350615934994 0.52957511251068;-0.988693863746309 -0.157861295276236;0.542970294330818 -0.886373638052735]",1,1,3,0,-0.16233-0.47776i        -0.16233+0.47776i               0.16667+0i,
2,100,99,1,"[0.482607976597106 0.359760469115814 -0.60033175066585;-0.859100735343177 -0.72669695620284 0.214679843528424;0.694666872794363 0.716804377157373 0.0860899673087763]","[-0.675350615934994 0.52957511251068;-0.988693863746309 -0.157861295276236;0.542970294330818 -0.886373638052735]",1,1,3,0,-0.16233-0.47776i        -0.16233+0.47776i               0.16667+0i,
2.2,100,100,0,"[0.482607976597106 0.359760469115814 -0.60033175066585;-0.859100735343177 -0.72669695620284 0.214679843528424;0.694666872794363 0.716804377157373 0.0860899673087763]","[-0.675350615934994 0.52957511251068;-0.988693863746309 -0.157861295276236;0.542970294330818 -0.886373638052735]",1,1,3,0,-0.16233-0.47776i        -0.16233+0.47776i               0.16667+0i,
2.4,100,100,0,"[0.482607976597106 0.359760469115814 -0.60033175066585;-0.859100735343177 -0.72669695620284 0.214679843528424;0.694666872794363 0.716804377157373 0.0860899673087763]","[-0.675350615934994 0.52957511251068;-0.988693863746309 -0.157861295276236;0.542970294330818 -0.886373638052735]",1,1,3,0,-0.16233-0.47776i        -0.16233+0.47776i               0.16667+0i,
2.6,100,97,3,"[0.482607976597106 0.359760469115814 -0.60033175066585;-0.859100735343177 -0.72669695620284 0.214679843528424;0.694666872794363 0.716804377157373 0.0860899673087763]","[-0.675350615934994 0.52957511251068;-0.988693863746309 -0.157861295276236;0.542970294330818 -0.886373638052735]",1,1,3,0,-0.16233-0.47776i        -0.16233+0.47776i               0.16667+0i,
0.5,100,12,88,"[0.171493990468456 0.0685820998820583 0.516389059430832;-0.651689511131937 -0.493871424497175 0.774061464456026;0.45722132113262 0.83411349657117 -0.862403657792567]","[-0.63294360894432 0.553985811412057;0.474145309173178 0.0038068383074874;0.393429705299443 -0.149006343994747]",0,1,2,1,-1.6532+0i         0.23422-0.27537i         0.23422+0.27537i,
1,100,3,97,"[0.171493990468456 0.0685820998820583 0.516389059430832;-0.651689511131937 -0.493871424497175 0.774061464456026;0.45722132113262 0.83411349657117 -0.862403657792567]","[-0.63294360894432 0.553985811412057;0.474145309173178 0.0038068383074874;0.393429705299443 -0.149006343994747]",0,1,2,1,-1.6532+0i         0.23422-0.27537i         0.23422+0.27537i,
1.5,100,4,96,"[0.171493990468456 0.0685820998820583 0.516389059430832;-0.651689511131937 -0.493871424497175 0.774061464456026;0.45722132113262 0.83411349657117 -0.862403657792567]","[-0.63294360894432 0.553985811412057;0.474145309173178 0.0038068383074874;0.393429705299443 -0.149006343994747]",0,1,2,1,-1.6532+0i         0.23422-0.27537i         0.23422+0.27537i,
2,100,8,92,"[0.171493990468456 0.0685820998820583 0.516389059430832;-0.651689511131937 -0.493871424497175 0.774061464456026;0.45722132113262 0.83411349657117 -0.862403657792567]","[-0.63294360894432 0.553985811412057;0.474145309173178 0.0038068383074874;0.393429705299443 -0.149006343994747]",0,1,2,1,-1.6532+0i         0.23422-0.27537i         0.23422+0.27537i,
2.2,100,5,95,"[0.171493990468456 0.0685820998820583 0.516389059430832;-0.651689511131937 -0.493871424497175 0.774061464456026;0.45722132113262 0.83411349657117 -0.862403657792567]","[-0.63294360894432 0.553985811412057;0.474145309173178 0.0038068383074874;0.393429705299443 -0.149006343994747]",0,1,2,1,-1.6532+0i         0.23422-0.27537i         0.23422+0.27537i,
2.4,100,6,94,"[0.171493990468456 0.0685820998820583 0.516389059430832;-0.651689511131937 -0.493871424497175 0.774061464456026;0.45722132113262 0.83411349657117 -0.862403657792567]","[-0.63294360894432 0.553985811412057;0.474145309173178 0.0038068383074874;0.393429705299443 -0.149006343994747]",0,1,2,1,-1.6532+0i         0.23422-0.27537i         0.23422+0.27537i,
2.6,100,9,91,"[0.171493990468456 0.0685820998820583 0.516389059430832;-0.651689511131937 -0.493871424497175 0.774061464456026;0.45722132113262 0.83411349657117 -0.862403657792567]","[-0.63294360894432 0.553985811412057;0.474145309173178 0.0038068383074874;0.393429705299443 -0.149006343994747]",0,1,2,1,-1.6532+0i         0.23422-0.27537i         0.23422+0.27537i,
0.5,100,100,0,"[0.222474261548603 0.0471840894223212 -0.236778248022235;0.711543782723473 -0.402369179785956 0.135369995602973;0.341594217960446 0.407938157302389 0.775721910622455]","[0.685898577990577 0.630870311877495;0.79759711166438 -0.997284342427938;0.87800618289311 -0.99381860488507]",1,1,3,0,-0.54281+0i         0.56932-0.23867i         0.56932+0.23867i,
1,100,100,0,"[0.222474261548603 0.0471840894223212 -0.236778248022235;0.711543782723473 -0.402369179785956 0.135369995602973;0.341594217960446 0.407938157302389 0.775721910622455]","[0.685898577990577 0.630870311877495;0.79759711166438 -0.997284342427938;0.87800618289311 -0.99381860488507]",1,1,3,0,-0.54281+0i         0.56932-0.23867i         0.56932+0.23867i,
1.5,100,99,1,"[0.222474261548603 0.0471840894223212 -0.236778248022235;0.711543782723473 -0.402369179785956 0.135369995602973;0.341594217960446 0.407938157302389 0.775721910622455]","[0.685898577990577 0.630870311877495;0.79759711166438 -0.997284342427938;0.87800618289311 -0.99381860488507]",1,1,3,0,-0.54281+0i         0.56932-0.23867i         0.56932+0.23867i,
2,100,100,0,"[0.222474261548603 0.0471840894223212 -0.236778248022235;0.711543782723473 -0.402369179785956 0.135369995602973;0.341594217960446 0.407938157302389 0.775721910622455]","[0.685898577990577 0.630870311877495;0.79759711166438 -0.997284342427938;0.87800618289311 -0.99381860488507]",1,1,3,0,-0.54281+0i         0.56932-0.23867i         0.56932+0.23867i,
2.2,100,100,0,"[0.222474261548603 0.0471840894223212 -0.236778248022235;0.711543782723473 -0.402369179785956 0.135369995602973;0.341594217960446 0.407938157302389 0.775721910622455]","[0.685898577990577 0.630870311877495;0.79759711166438 -0.997284342427938;0.87800618289311 -0.99381860488507]",1,1,3,0,-0.54281+0i         0.56932-0.23867i         0.56932+0.23867i,
2.4,100,100,0,"[0.222474261548603 0.0471840894223212 -0.236778248022235;0.711543782723473 -0.402369179785956 0.135369995602973;0.341594217960446 0.407938157302389 0.775721910622455]","[0.685898577990577 0.630870311877495;0.79759711166438 -0.997284342427938;0.87800618289311 -0.99381860488507]",1,1,3,0,-0.54281+0i         0.56932-0.23867i         0.56932+0.23867i,
2.6,100,100,0,"[0.222474261548603 0.0471840894223212 -0.236778248022235;0.711543782723473 -0.402369179785956 0.135369995602973;0.341594217960446 0.407938157302389 0.775721910622455]","[0.685898577990577 0.630870311877495;0.79759711166438 -0.997284342427938;0.87800618289311 -0.99381860488507]",1,1,3,0,-0.54281+0i         0.56932-0.23867i         0.56932+0.23867i,
0.5,100,100,0,"[-0.825062367362497 -0.151830362388241 0.852338165166146;-0.478545297591361 -0.317870062181542 -0.403001105881521;-0.954402658718133 0.0827078666154089 -0.323830412297436]","[0.718960214413579 0.0155979107052056;-0.319043378469135 0.71331295378338;-0.723759193899827 -0.231372764234773]",1,1,3,0,-0.4993-0.83049i         -0.4993+0.83049i              -0.46816+0i,
1,100,100,0,"[-0.825062367362497 -0.151830362388241 0.852338165166146;-0.478545297591361 -0.317870062181542 -0.403001105881521;-0.954402658718133 0.0827078666154089 -0.323830412297436]","[0.718960214413579 0.0155979107052056;-0.319043378469135 0.71331295378338;-0.723759193899827 -0.231372764234773]",1,1,3,0,-0.4993-0.83049i         -0.4993+0.83049i              -0.46816+0i,
1.5,100,98,2,"[-0.825062367362497 -0.151830362388241 0.852338165166146;-0.478545297591361 -0.317870062181542 -0.403001105881521;-0.954402658718133 0.0827078666154089 -0.323830412297436]","[0.718960214413579 0.0155979107052056;-0.319043378469135 0.71331295378338;-0.723759193899827 -0.231372764234773]",1,1,3,0,-0.4993-0.83049i         -0.4993+0.83049i              -0.46816+0i,
2,100,98,2,"[-0.825062367362497 -0.151830362388241 0.852338165166146;-0.478545297591361 -0.317870062181542 -0.403001105881521;-0.954402658718133 0.0827078666154089 -0.323830412297436]","[0.718960214413579 0.0155979107052056;-0.319043378469135 0.71331295378338;-0.723759193899827 -0.231372764234773]",1,1,3,0,-0.4993-0.83049i         -0.4993+0.83049i              -0.46816+0i,
2.2,100,99,1,"[-0.825062367362497 -0.151830362388241 0.852338165166146;-0.478545297591361 -0.317870062181542 -0.403001105881521;-0.954402658718133 0.0827078666154089 -0.323830412297436]","[0.718960214413579 0.0155979107052056;-0.319043378469135 0.71331295378338;-0.723759193899827 -0.231372764234773]",1,1,3,0,-0.4993-0.83049i         -0.4993+0.83049i              -0.46816+0i,
2.4,100,93,7,"[-0.825062367362497 -0.151830362388241 0.852338165166146;-0.478545297591361 -0.317870062181542 -0.403001105881521;-0.954402658718133 0.0827078666154089 -0.323830412297436]","[0.718960214413579 0.0155979107052056;-0.319043378469135 0.71331295378338;-0.723759193899827 -0.231372764234773]",1,1,3,0,-0.4993-0.83049i         -0.4993+0.83049i              -0.46816+0i,
2.6,100,95,5,"[-0.825062367362497 -0.151830362388241 0.852338165166146;-0.478545297591361 -0.317870062181542 -0.403001105881521;-0.954402658718133 0.0827078666154089 -0.323830412297436]","[0.718960214413579 0.0155979107052056;-0.319043378469135 0.71331295378338;-0.723759193899827 -0.231372764234773]",1,1,3,0,-0.4993-0.83049i         -0.4993+0.83049i              -0.46816+0i,
0.5,100,34,66,"[0.391381853657539 -0.0527641158022312 -0.440342159999575;0.255808355581097 0.899412707007065 -0.105985381330591;-0.0992236912961491 -0.833004876421338 0.175142527990627]","[0.755268276829044 0.492369879949691;-0.0617989595419617 -0.0641790683845078;-0.125163048596559 0.72165470211575]",0,1,2,1,1.1228+0i         0.17158-0.21185i         0.17158+0.21185i,
1,100,18,82,"[0.391381853657539 -0.0527641158022312 -0.440342159999575;0.255808355581097 0.899412707007065 -0.105985381330591;-0.0992236912961491 -0.833004876421338 0.175142527990627]","[0.755268276829044 0.492369879949691;-0.0617989595419617 -0.0641790683845078;-0.125163048596559 0.72165470211575]",0,1,2,1,1.1228+0i         0.17158-0.21185i         0.17158+0.21185i,
1.5,100,15,85,"[0.391381853657539 -0.0527641158022312 -0.440342159999575;0.255808355581097 0.899412707007065 -0.105985381330591;-0.0992236912961491 -0.833004876421338 0.175142527990627]","[0.755268276829044 0.492369879949691;-0.0617989595419617 -0.0641790683845078;-0.125163048596559 0.72165470211575]",0,1,2,1,1.1228+0i         0.17158-0.21185i         0.17158+0.21185i,
2,100,17,83,"[0.391381853657539 -0.0527641158022312 -0.440342159999575;0.255808355581097 0.899412707007065 -0.105985381330591;-0.0992236912961491 -0.833004876421338 0.175142527990627]","[0.755268276829044 0.492369879949691;-0.0617989595419617 -0.0641790683845078;-0.125163048596559 0.72165470211575]",0,1,2,1,1.1228+0i         0.17158-0.21185i         0.17158+0.21185i,
2.2,100,15,85,"[0.391381853657539 -0.0527641158022312 -0.440342159999575;0.255808355581097 0.899412707007065 -0.105985381330591;-0.0992236912961491 -0.833004876421338 0.175142527990627]","[0.755268276829044 0.492369879949691;-0.0617989595419617 -0.0641790683845078;-0.125163048596559 0.72165470211575]",0,1,2,1,1.1228+0i         0.17158-0.21185i         0.17158+0.21185i,
2.4,100,17,83,"[0.391381853657539 -0.0527641158022312 -0.440342159999575;0.255808355581097 0.899412707007065 -0.105985381330591;-0.0992236912961491 -0.833004876421338 0.175142527990627]","[0.755268276829044 0.492369879949691;-0.0617989595419617 -0.0641790683845078;-0.125163048596559 0.72165470211575]",0,1,2,1,1.1228+0i         0.17158-0.21185i         0.17158+0.21185i,
2.6,100,9,91,"[0.391381853657539 -0.0527641158022312 -0.440342159999575;0.255808355581097 0.899412707007065 -0.105985381330591;-0.0992236912961491 -0.833004876421338 0.175142527990627]","[0.755268276829044 0.492369879949691;-0.0617989595419617 -0.0641790683845078;-0.125163048596559 0.72165470211575]",0,1,2,1,1.1228+0i         0.17158-0.21185i         0.17158+0.21185i,
0.5,100,100,0,"[-0.0669759752370254 -0.541062450503966 0.776781869609156;-0.00379102575458146 -0.828895535181886 -0.53366462866068;-0.0251386911691092 -0.865233372782187 0.723191519968734]","[0.423470186015838 -0.720621442904999;0.745625986085708 -0.212199710297993;0.876004013839261 0.961125659430108]",0,1,2,1,0.96   -0.046708      -1.086,
1,100,99,1,"[-0.0669759752370254 -0.541062450503966 0.776781869609156;-0.00379102575458146 -0.828895535181886 -0.53366462866068;-0.0251386911691092 -0.865233372782187 0.723191519968734]","[0.423470186015838 -0.720621442904999;0.745625986085708 -0.212199710297993;0.876004013839261 0.961125659430108]",0,1,2,1,0.96   -0.046708      -1.086,
1.5,100,98,2,"[-0.0669759752370254 -0.541062450503966 0.776781869609156;-0.00379102575458146 -0.828895535181886 -0.53366462866068;-0.0251386911691092 -0.865233372782187 0.723191519968734]","[0.423470186015838 -0.720621442904999;0.745625986085708 -0.212199710297993;0.876004013839261 0.961125659430108]",0,1,2,1,0.96   -0.046708      -1.086,
