"epsilon","bools","stable","falsePos","A","B","stableA","controlableA","stabEig","unStabEig","eig",
1,100,98,2,"[0.908205572942427 -0.377780720791996 -0.814022146258644;0.0856262262071024 -0.857530856150833 -0.0730215044755136;0.0802116647187316 -0.636039065661957 -0.981334975944461]","[0.83005182347158 -0.939229455010165;0.285483478266208 -0.583059553389361;-0.997161883595194 -0.0900677099958056]",0,1,2,1,0.86816     -1.0563    -0.74249,
1.5,100,91,9,"[0.908205572942427 -0.377780720791996 -0.814022146258644;0.0856262262071024 -0.857530856150833 -0.0730215044755136;0.0802116647187316 -0.636039065661957 -0.981334975944461]","[0.83005182347158 -0.939229455010165;0.285483478266208 -0.583059553389361;-0.997161883595194 -0.0900677099958056]",0,1,2,1,0.86816     -1.0563    -0.74249,
2,100,89,11,"[0.908205572942427 -0.377780720791996 -0.814022146258644;0.0856262262071024 -0.857530856150833 -0.0730215044755136;0.0802116647187316 -0.636039065661957 -0.981334975944461]","[0.83005182347158 -0.939229455010165;0.285483478266208 -0.583059553389361;-0.997161883595194 -0.0900677099958056]",0,1,2,1,0.86816     -1.0563    -0.74249,
2.2,100,81,19,"[0.908205572942427 -0.377780720791996 -0.814022146258644;0.0856262262071024 -0.857530856150833 -0.0730215044755136;0.0802116647187316 -0.636039065661957 -0.981334975944461]","[0.83005182347158 -0.939229455010165;0.285483478266208 -0.583059553389361;-0.997161883595194 -0.0900677099958056]",0,1,2,1,0.86816     -1.0563    -0.74249,
2.4,100,86,14,"[0.908205572942427 -0.377780720791996 -0.814022146258644;0.0856262262071024 -0.857530856150833 -0.0730215044755136;0.0802116647187316 -0.636039065661957 -0.981334975944461]","[0.83005182347158 -0.939229455010165;0.285483478266208 -0.583059553389361;-0.997161883595194 -0.0900677099958056]",0,1,2,1,0.86816     -1.0563    -0.74249,
2.6,100,78,22,"[0.908205572942427 -0.377780720791996 -0.814022146258644;0.0856262262071024 -0.857530856150833 -0.0730215044755136;0.0802116647187316 -0.636039065661957 -0.981334975944461]","[0.83005182347158 -0.939229455010165;0.285483478266208 -0.583059553389361;-0.997161883595194 -0.0900677099958056]",0,1,2,1,0.86816     -1.0563    -0.74249,
0.5,100,100,0,"[-0.745467933349733 -0.291767067886827 -0.126890435255464;-0.982704624243819 0.560891892192049 -0.901573639287027;0.454159202297054 -0.126686716729418 -0.90073619696122]","[-0.817799649173892 0.682738203944287;0.188074062888242 0.714425528181211;-0.517831889661956 0.92722440190271]",0,1,1,2,0.83924+0i        -0.96228-0.30661i        -0.96228+0.30661i,
1,100,98,2,"[-0.745467933349733 -0.291767067886827 -0.126890435255464;-0.982704624243819 0.560891892192049 -0.901573639287027;0.454159202297054 -0.126686716729418 -0.90073619696122]","[-0.817799649173892 0.682738203944287;0.188074062888242 0.714425528181211;-0.517831889661956 0.92722440190271]",0,1,1,2,0.83924+0i        -0.96228-0.30661i        -0.96228+0.30661i,
1.5,100,97,3,"[-0.745467933349733 -0.291767067886827 -0.126890435255464;-0.982704624243819 0.560891892192049 -0.901573639287027;0.454159202297054 -0.126686716729418 -0.90073619696122]","[-0.817799649173892 0.682738203944287;0.188074062888242 0.714425528181211;-0.517831889661956 0.92722440190271]",0,1,1,2,0.83924+0i        -0.96228-0.30661i        -0.96228+0.30661i,
2,100,94,6,"[-0.745467933349733 -0.291767067886827 -0.126890435255464;-0.982704624243819 0.560891892192049 -0.901573639287027;0.454159202297054 -0.126686716729418 -0.90073619696122]","[-0.817799649173892 0.682738203944287;0.188074062888242 0.714425528181211;-0.517831889661956 0.92722440190271]",0,1,1,2,0.83924+0i        -0.96228-0.30661i        -0.96228+0.30661i,
2.2,100,93,7,"[-0.745467933349733 -0.291767067886827 -0.126890435255464;-0.982704624243819 0.560891892192049 -0.901573639287027;0.454159202297054 -0.126686716729418 -0.90073619696122]","[-0.817799649173892 0.682738203944287;0.188074062888242 0.714425528181211;-0.517831889661956 0.92722440190271]",0,1,1,2,0.83924+0i        -0.96228-0.30661i        -0.96228+0.30661i,
2.4,100,98,2,"[-0.745467933349733 -0.291767067886827 -0.126890435255464;-0.982704624243819 0.560891892192049 -0.901573639287027;0.454159202297054 -0.126686716729418 -0.90073619696122]","[-0.817799649173892 0.682738203944287;0.188074062888242 0.714425528181211;-0.517831889661956 0.92722440190271]",0,1,1,2,0.83924+0i        -0.96228-0.30661i        -0.96228+0.30661i,
2.6,100,97,3,"[-0.745467933349733 -0.291767067886827 -0.126890435255464;-0.982704624243819 0.560891892192049 -0.901573639287027;0.454159202297054 -0.126686716729418 -0.90073619696122]","[-0.817799649173892 0.682738203944287;0.188074062888242 0.714425528181211;-0.517831889661956 0.92722440190271]",0,1,1,2,0.83924+0i        -0.96228-0.30661i        -0.96228+0.30661i,
0.5,100,100,0,"[-0.0222004276787922 0.0735756090256516 -0.0775364812170016;-0.559379798862734 0.524219418422295 0.278647524398713;-0.547582718317428 -0.304865699102481 0.83467208173369]","[-0.676854852219338 -0.133402045581762;0.431270808334947 0.768485565262188;0.155477752384819 -0.213896489246174]",1,1,3,0,-0.043471+0i         0.69008-0.27353i         0.69008+0.27353i,
1,100,99,1,"[-0.0222004276787922 0.0735756090256516 -0.0775364812170016;-0.559379798862734 0.524219418422295 0.278647524398713;-0.547582718317428 -0.304865699102481 0.83467208173369]","[-0.676854852219338 -0.133402045581762;0.431270808334947 0.768485565262188;0.155477752384819 -0.213896489246174]",1,1,3,0,-0.043471+0i         0.69008-0.27353i         0.69008+0.27353i,
1.5,100,100,0,"[-0.0222004276787922 0.0735756090256516 -0.0775364812170016;-0.559379798862734 0.524219418422295 0.278647524398713;-0.547582718317428 -0.304865699102481 0.83467208173369]","[-0.676854852219338 -0.133402045581762;0.431270808334947 0.768485565262188;0.155477752384819 -0.213896489246174]",1,1,3,0,-0.043471+0i         0.69008-0.27353i         0.69008+0.27353i,
2,100,100,0,"[-0.0222004276787922 0.0735756090256516 -0.0775364812170016;-0.559379798862734 0.524219418422295 0.278647524398713;-0.547582718317428 -0.304865699102481 0.83467208173369]","[-0.676854852219338 -0.133402045581762;0.431270808334947 0.768485565262188;0.155477752384819 -0.213896489246174]",1,1,3,0,-0.043471+0i         0.69008-0.27353i         0.69008+0.27353i,
2.2,100,100,0,"[-0.0222004276787922 0.0735756090256516 -0.0775364812170016;-0.559379798862734 0.524219418422295 0.278647524398713;-0.547582718317428 -0.304865699102481 0.83467208173369]","[-0.676854852219338 -0.133402045581762;0.431270808334947 0.768485565262188;0.155477752384819 -0.213896489246174]",1,1,3,0,-0.043471+0i         0.69008-0.27353i         0.69008+0.27353i,
2.4,100,100,0,"[-0.0222004276787922 0.0735756090256516 -0.0775364812170016;-0.559379798862734 0.524219418422295 0.278647524398713;-0.547582718317428 -0.304865699102481 0.83467208173369]","[-0.676854852219338 -0.133402045581762;0.431270808334947 0.768485565262188;0.155477752384819 -0.213896489246174]",1,1,3,0,-0.043471+0i         0.69008-0.27353i         0.69008+0.27353i,
2.6,100,100,0,"[-0.0222004276787922 0.0735756090256516 -0.0775364812170016;-0.559379798862734 0.524219418422295 0.278647524398713;-0.547582718317428 -0.304865699102481 0.83467208173369]","[-0.676854852219338 -0.133402045581762;0.431270808334947 0.768485565262188;0.155477752384819 -0.213896489246174]",1,1,3,0,-0.043471+0i         0.69008-0.27353i         0.69008+0.27353i,
0.5,100,100,0,"[-0.642049694744536 -0.344116806053502 0.961956321864293;0.266667160640243 0.605930631916474 -0.745926115610286;0.248001108624688 0.998955717271784 -0.535519708076415]","[-0.95273506668355 -0.185080984243202;0.21486522080371 0.768153613323923;-0.7783813574257 0.096265554953175]",1,1,3,0,-0.59426+0i         0.011312-0.4919i         0.011312+0.4919i,
1,100,100,0,"[-0.642049694744536 -0.344116806053502 0.961956321864293;0.266667160640243 0.605930631916474 -0.745926115610286;0.248001108624688 0.998955717271784 -0.535519708076415]","[-0.95273506668355 -0.185080984243202;0.21486522080371 0.768153613323923;-0.7783813574257 0.096265554953175]",1,1,3,0,-0.59426+0i         0.011312-0.4919i         0.011312+0.4919i,
1.5,100,100,0,"[-0.642049694744536 -0.344116806053502 0.961956321864293;0.266667160640243 0.605930631916474 -0.745926115610286;0.248001108624688 0.998955717271784 -0.535519708076415]","[-0.95273506668355 -0.185080984243202;0.21486522080371 0.768153613323923;-0.7783813574257 0.096265554953175]",1,1,3,0,-0.59426+0i         0.011312-0.4919i         0.011312+0.4919i,
2,100,100,0,"[-0.642049694744536 -0.344116806053502 0.961956321864293;0.266667160640243 0.605930631916474 -0.745926115610286;0.248001108624688 0.998955717271784 -0.535519708076415]","[-0.95273506668355 -0.185080984243202;0.21486522080371 0.768153613323923;-0.7783813574257 0.096265554953175]",1,1,3,0,-0.59426+0i         0.011312-0.4919i         0.011312+0.4919i,
2.2,100,100,0,"[-0.642049694744536 -0.344116806053502 0.961956321864293;0.266667160640243 0.605930631916474 -0.745926115610286;0.248001108624688 0.998955717271784 -0.535519708076415]","[-0.95273506668355 -0.185080984243202;0.21486522080371 0.768153613323923;-0.7783813574257 0.096265554953175]",1,1,3,0,-0.59426+0i         0.011312-0.4919i         0.011312+0.4919i,
2.4,100,100,0,"[-0.642049694744536 -0.344116806053502 0.961956321864293;0.266667160640243 0.605930631916474 -0.745926115610286;0.248001108624688 0.998955717271784 -0.535519708076415]","[-0.95273506668355 -0.185080984243202;0.21486522080371 0.768153613323923;-0.7783813574257 0.096265554953175]",1,1,3,0,-0.59426+0i         0.011312-0.4919i         0.011312+0.4919i,
2.6,100,100,0,"[-0.642049694744536 -0.344116806053502 0.961956321864293;0.266667160640243 0.605930631916474 -0.745926115610286;0.248001108624688 0.998955717271784 -0.535519708076415]","[-0.95273506668355 -0.185080984243202;0.21486522080371 0.768153613323923;-0.7783813574257 0.096265554953175]",1,1,3,0,-0.59426+0i         0.011312-0.4919i         0.011312+0.4919i,
0.5,100,100,0,"[-0.261993846576765 0.912392304351756 0.713792655564387;-0.583308034373306 -0.751948166703914 -0.913219056866094;-0.118113446951353 -0.0584735082660863 0.383250290402611]","[0.957970933350077 0.370559368825375;-0.433464203015726 0.818909111498789;-0.732439000011154 0.221737964766487]",1,1,3,0,-0.5293-0.73781i         -0.5293+0.73781i               0.42792+0i,
1,100,100,0,"[-0.261993846576765 0.912392304351756 0.713792655564387;-0.583308034373306 -0.751948166703914 -0.913219056866094;-0.118113446951353 -0.0584735082660863 0.383250290402611]","[0.957970933350077 0.370559368825375;-0.433464203015726 0.818909111498789;-0.732439000011154 0.221737964766487]",1,1,3,0,-0.5293-0.73781i         -0.5293+0.73781i               0.42792+0i,
1.5,100,98,2,"[-0.261993846576765 0.912392304351756 0.713792655564387;-0.583308034373306 -0.751948166703914 -0.913219056866094;-0.118113446951353 -0.0584735082660863 0.383250290402611]","[0.957970933350077 0.370559368825375;-0.433464203015726 0.818909111498789;-0.732439000011154 0.221737964766487]",1,1,3,0,-0.5293-0.73781i         -0.5293+0.73781i               0.42792+0i,
2,100,97,3,"[-0.261993846576765 0.912392304351756 0.713792655564387;-0.583308034373306 -0.751948166703914 -0.913219056866094;-0.118113446951353 -0.0584735082660863 0.383250290402611]","[0.957970933350077 0.370559368825375;-0.433464203015726 0.818909111498789;-0.732439000011154 0.221737964766487]",1,1,3,0,-0.5293-0.73781i         -0.5293+0.73781i               0.42792+0i,
2.2,100,97,3,"[-0.261993846576765 0.912392304351756 0.713792655564387;-0.583308034373306 -0.751948166703914 -0.913219056866094;-0.118113446951353 -0.0584735082660863 0.383250290402611]","[0.957970933350077 0.370559368825375;-0.433464203015726 0.818909111498789;-0.732439000011154 0.221737964766487]",1,1,3,0,-0.5293-0.73781i         -0.5293+0.73781i               0.42792+0i,
2.4,100,99,1,"[-0.261993846576765 0.912392304351756 0.713792655564387;-0.583308034373306 -0.751948166703914 -0.913219056866094;-0.118113446951353 -0.0584735082660863 0.383250290402611]","[0.957970933350077 0.370559368825375;-0.433464203015726 0.818909111498789;-0.732439000011154 0.221737964766487]",1,1,3,0,-0.5293-0.73781i         -0.5293+0.73781i               0.42792+0i,
2.6,100,96,4,"[-0.261993846576765 0.912392304351756 0.713792655564387;-0.583308034373306 -0.751948166703914 -0.913219056866094;-0.118113446951353 -0.0584735082660863 0.383250290402611]","[0.957970933350077 0.370559368825375;-0.433464203015726 0.818909111498789;-0.732439000011154 0.221737964766487]",1,1,3,0,-0.5293-0.73781i         -0.5293+0.73781i               0.42792+0i,
0.5,100,85,15,"[0.799965592865722 -0.30747856667045 0.638001167853682;-0.613132496121816 -0.162749171394574 0.249847055692554;0.5088491629765 -0.688560339290216 0.477120843221295]","[0.610224841413908 -0.00484597795567865;-0.865554684873643 0.510291809401044;0.901580633011132 0.484810141353884]",0,1,2,1,1.3774+0i        -0.13153-0.42159i        -0.13153+0.42159i,
1,100,49,51,"[0.799965592865722 -0.30747856667045 0.638001167853682;-0.613132496121816 -0.162749171394574 0.249847055692554;0.5088491629765 -0.688560339290216 0.477120843221295]","[0.610224841413908 -0.00484597795567865;-0.865554684873643 0.510291809401044;0.901580633011132 0.484810141353884]",0,1,2,1,1.3774+0i        -0.13153-0.42159i        -0.13153+0.42159i,
1.5,100,44,56,"[0.799965592865722 -0.30747856667045 0.638001167853682;-0.613132496121816 -0.162749171394574 0.249847055692554;0.5088491629765 -0.688560339290216 0.477120843221295]","[0.610224841413908 -0.00484597795567865;-0.865554684873643 0.510291809401044;0.901580633011132 0.484810141353884]",0,1,2,1,1.3774+0i        -0.13153-0.42159i        -0.13153+0.42159i,
2,100,47,53,"[0.799965592865722 -0.30747856667045 0.638001167853682;-0.613132496121816 -0.162749171394574 0.249847055692554;0.5088491629765 -0.688560339290216 0.477120843221295]","[0.610224841413908 -0.00484597795567865;-0.865554684873643 0.510291809401044;0.901580633011132 0.484810141353884]",0,1,2,1,1.3774+0i        -0.13153-0.42159i        -0.13153+0.42159i,
2.2,100,52,48,"[0.799965592865722 -0.30747856667045 0.638001167853682;-0.613132496121816 -0.162749171394574 0.249847055692554;0.5088491629765 -0.688560339290216 0.477120843221295]","[0.610224841413908 -0.00484597795567865;-0.865554684873643 0.510291809401044;0.901580633011132 0.484810141353884]",0,1,2,1,1.3774+0i        -0.13153-0.42159i        -0.13153+0.42159i,
2.4,100,45,55,"[0.799965592865722 -0.30747856667045 0.638001167853682;-0.613132496121816 -0.162749171394574 0.249847055692554;0.5088491629765 -0.688560339290216 0.477120843221295]","[0.610224841413908 -0.00484597795567865;-0.865554684873643 0.510291809401044;0.901580633011132 0.484810141353884]",0,1,2,1,1.3774+0i        -0.13153-0.42159i        -0.13153+0.42159i,
2.6,100,51,49,"[0.799965592865722 -0.30747856667045 0.638001167853682;-0.613132496121816 -0.162749171394574 0.249847055692554;0.5088491629765 -0.688560339290216 0.477120843221295]","[0.610224841413908 -0.00484597795567865;-0.865554684873643 0.510291809401044;0.901580633011132 0.484810141353884]",0,1,2,1,1.3774+0i        -0.13153-0.42159i        -0.13153+0.42159i,
0.5,100,100,0,"[0.662259151420226 0.236200992188762 0.7908470326847;-0.686996306499597 0.864366710094101 0.16503704933606;-0.0853825588971828 0.670176471118703 0.165493612723583]","[0.70985187793991 -0.184538377288036;-0.930268599904138 -0.927235939104336;0.770840190969607 0.492295885475441]",0,1,1,2,0.94496-0.65204i         0.94496+0.65204i              -0.19781+0i,
1,100,88,12,"[0.662259151420226 0.236200992188762 0.7908470326847;-0.686996306499597 0.864366710094101 0.16503704933606;-0.0853825588971828 0.670176471118703 0.165493612723583]","[0.70985187793991 -0.184538377288036;-0.930268599904138 -0.927235939104336;0.770840190969607 0.492295885475441]",0,1,1,2,0.94496-0.65204i         0.94496+0.65204i              -0.19781+0i,
1.5,100,81,19,"[0.662259151420226 0.236200992188762 0.7908470326847;-0.686996306499597 0.864366710094101 0.16503704933606;-0.0853825588971828 0.670176471118703 0.165493612723583]","[0.70985187793991 -0.184538377288036;-0.930268599904138 -0.927235939104336;0.770840190969607 0.492295885475441]",0,1,1,2,0.94496-0.65204i         0.94496+0.65204i              -0.19781+0i,
2,100,72,28,"[0.662259151420226 0.236200992188762 0.7908470326847;-0.686996306499597 0.864366710094101 0.16503704933606;-0.0853825588971828 0.670176471118703 0.165493612723583]","[0.70985187793991 -0.184538377288036;-0.930268599904138 -0.927235939104336;0.770840190969607 0.492295885475441]",0,1,1,2,0.94496-0.65204i         0.94496+0.65204i              -0.19781+0i,
2.2,100,73,27,"[0.662259151420226 0.236200992188762 0.7908470326847;-0.686996306499597 0.864366710094101 0.16503704933606;-0.0853825588971828 0.670176471118703 0.165493612723583]","[0.70985187793991 -0.184538377288036;-0.930268599904138 -0.927235939104336;0.770840190969607 0.492295885475441]",0,1,1,2,0.94496-0.65204i         0.94496+0.65204i              -0.19781+0i,
2.4,100,62,38,"[0.662259151420226 0.236200992188762 0.7908470326847;-0.686996306499597 0.864366710094101 0.16503704933606;-0.0853825588971828 0.670176471118703 0.165493612723583]","[0.70985187793991 -0.184538377288036;-0.930268599904138 -0.927235939104336;0.770840190969607 0.492295885475441]",0,1,1,2,0.94496-0.65204i         0.94496+0.65204i              -0.19781+0i,
2.6,100,73,27,"[0.662259151420226 0.236200992188762 0.7908470326847;-0.686996306499597 0.864366710094101 0.16503704933606;-0.0853825588971828 0.670176471118703 0.165493612723583]","[0.70985187793991 -0.184538377288036;-0.930268599904138 -0.927235939104336;0.770840190969607 0.492295885475441]",0,1,1,2,0.94496-0.65204i         0.94496+0.65204i              -0.19781+0i,
0.5,100,99,1,"[-0.690342458497789 -0.491038311897263 -0.187253357197746;-0.712183342650264 -0.351691589988356 -0.227617722878175;0.211918106647494 -0.196418164306003 0.21960364767591]","[-0.666218554667508 -0.353627454477471;-0.623815853609503 0.53919385854467;-0.810742260275669 -0.531763995082003]",0,1,2,1,-1.1309    0.028704     0.27974,
1,100,90,10,"[-0.690342458497789 -0.491038311897263 -0.187253357197746;-0.712183342650264 -0.351691589988356 -0.227617722878175;0.211918106647494 -0.196418164306003 0.21960364767591]","[-0.666218554667508 -0.353627454477471;-0.623815853609503 0.53919385854467;-0.810742260275669 -0.531763995082003]",0,1,2,1,-1.1309    0.028704     0.27974,
1.5,100,85,15,"[-0.690342458497789 -0.491038311897263 -0.187253357197746;-0.712183342650264 -0.351691589988356 -0.227617722878175;0.211918106647494 -0.196418164306003 0.21960364767591]","[-0.666218554667508 -0.353627454477471;-0.623815853609503 0.53919385854467;-0.810742260275669 -0.531763995082003]",0,1,2,1,-1.1309    0.028704     0.27974,
2,100,89,11,"[-0.690342458497789 -0.491038311897263 -0.187253357197746;-0.712183342650264 -0.351691589988356 -0.227617722878175;0.211918106647494 -0.196418164306003 0.21960364767591]","[-0.666218554667508 -0.353627454477471;-0.623815853609503 0.53919385854467;-0.810742260275669 -0.531763995082003]",0,1,2,1,-1.1309    0.028704     0.27974,
2.2,100,82,18,"[-0.690342458497789 -0.491038311897263 -0.187253357197746;-0.712183342650264 -0.351691589988356 -0.227617722878175;0.211918106647494 -0.196418164306003 0.21960364767591]","[-0.666218554667508 -0.353627454477471;-0.623815853609503 0.53919385854467;-0.810742260275669 -0.531763995082003]",0,1,2,1,-1.1309    0.028704     0.27974,
2.4,100,86,14,"[-0.690342458497789 -0.491038311897263 -0.187253357197746;-0.712183342650264 -0.351691589988356 -0.227617722878175;0.211918106647494 -0.196418164306003 0.21960364767591]","[-0.666218554667508 -0.353627454477471;-0.623815853609503 0.53919385854467;-0.810742260275669 -0.531763995082003]",0,1,2,1,-1.1309    0.028704     0.27974,
2.6,100,86,14,"[-0.690342458497789 -0.491038311897263 -0.187253357197746;-0.712183342650264 -0.351691589988356 -0.227617722878175;0.211918106647494 -0.196418164306003 0.21960364767591]","[-0.666218554667508 -0.353627454477471;-0.623815853609503 0.53919385854467;-0.810742260275669 -0.531763995082003]",0,1,2,1,-1.1309    0.028704     0.27974,
0.5,100,100,0,"[0.480730939248525 0.655955098278974 0.0460595968839861;0.385636827663459 -0.413264131983216 -0.349402015011148;0.648156426732761 -0.381261515154502 0.663685020972136]","[0.620589581487681 0.3611324046089;0.113996522557218 -0.53269370911523;-0.474071932539686 -0.0871492707737762]",1,1,3,0,-0.7931+0i          0.76213-0.2411i          0.76213+0.2411i,
1,100,99,1,"[0.480730939248525 0.655955098278974 0.0460595968839861;0.385636827663459 -0.413264131983216 -0.349402015011148;0.648156426732761 -0.381261515154502 0.663685020972136]","[0.620589581487681 0.3611324046089;0.113996522557218 -0.53269370911523;-0.474071932539686 -0.0871492707737762]",1,1,3,0,-0.7931+0i          0.76213-0.2411i          0.76213+0.2411i,
1.5,100,100,0,"[0.480730939248525 0.655955098278974 0.0460595968839861;0.385636827663459 -0.413264131983216 -0.349402015011148;0.648156426732761 -0.381261515154502 0.663685020972136]","[0.620589581487681 0.3611324046089;0.113996522557218 -0.53269370911523;-0.474071932539686 -0.0871492707737762]",1,1,3,0,-0.7931+0i          0.76213-0.2411i          0.76213+0.2411i,
2,100,100,0,"[0.480730939248525 0.655955098278974 0.0460595968839861;0.385636827663459 -0.413264131983216 -0.349402015011148;0.648156426732761 -0.381261515154502 0.663685020972136]","[0.620589581487681 0.3611324046089;0.113996522557218 -0.53269370911523;-0.474071932539686 -0.0871492707737762]",1,1,3,0,-0.7931+0i          0.76213-0.2411i          0.76213+0.2411i,
2.2,100,100,0,"[0.480730939248525 0.655955098278974 0.0460595968839861;0.385636827663459 -0.413264131983216 -0.349402015011148;0.648156426732761 -0.381261515154502 0.663685020972136]","[0.620589581487681 0.3611324046089;0.113996522557218 -0.53269370911523;-0.474071932539686 -0.0871492707737762]",1,1,3,0,-0.7931+0i          0.76213-0.2411i          0.76213+0.2411i,
2.4,100,100,0,"[0.480730939248525 0.655955098278974 0.0460595968839861;0.385636827663459 -0.413264131983216 -0.349402015011148;0.648156426732761 -0.381261515154502 0.663685020972136]","[0.620589581487681 0.3611324046089;0.113996522557218 -0.53269370911523;-0.474071932539686 -0.0871492707737762]",1,1,3,0,-0.7931+0i          0.76213-0.2411i          0.76213+0.2411i,
2.6,100,100,0,"[0.480730939248525 0.655955098278974 0.0460595968839861;0.385636827663459 -0.413264131983216 -0.349402015011148;0.648156426732761 -0.381261515154502 0.663685020972136]","[0.620589581487681 0.3611324046089;0.113996522557218 -0.53269370911523;-0.474071932539686 -0.0871492707737762]",1,1,3,0,-0.7931+0i          0.76213-0.2411i          0.76213+0.2411i,
0.5,100,60,40,"[-0.230866210976952 0.51044080335566 0.0571181771053302;0.0772028773960436 0.960909698860749 -0.897127892866184;0.98340744192391 -0.530434718674305 0.513750941969245]","[0.20395953255102 0.858968944851235;0.714337418244418 -0.180970133122369;0.976554278516228 -0.999317075563722]",0,1,2,1,-0.6511     0.66089       1.234,
1,100,49,51,"[-0.230866210976952 0.51044080335566 0.0571181771053302;0.0772028773960436 0.960909698860749 -0.897127892866184;0.98340744192391 -0.530434718674305 0.513750941969245]","[0.20395953255102 0.858968944851235;0.714337418244418 -0.180970133122369;0.976554278516228 -0.999317075563722]",0,1,2,1,-0.6511     0.66089       1.234,
1.5,100,37,63,"[-0.230866210976952 0.51044080335566 0.0571181771053302;0.0772028773960436 0.960909698860749 -0.897127892866184;0.98340744192391 -0.530434718674305 0.513750941969245]","[0.20395953255102 0.858968944851235;0.714337418244418 -0.180970133122369;0.976554278516228 -0.999317075563722]",0,1,2,1,-0.6511     0.66089       1.234,
2,100,38,62,"[-0.230866210976952 0.51044080335566 0.0571181771053302;0.0772028773960436 0.960909698860749 -0.897127892866184;0.98340744192391 -0.530434718674305 0.513750941969245]","[0.20395953255102 0.858968944851235;0.714337418244418 -0.180970133122369;0.976554278516228 -0.999317075563722]",0,1,2,1,-0.6511     0.66089       1.234,
2.2,100,27,73,"[-0.230866210976952 0.51044080335566 0.0571181771053302;0.0772028773960436 0.960909698860749 -0.897127892866184;0.98340744192391 -0.530434718674305 0.513750941969245]","[0.20395953255102 0.858968944851235;0.714337418244418 -0.180970133122369;0.976554278516228 -0.999317075563722]",0,1,2,1,-0.6511     0.66089       1.234,
2.4,100,33,67,"[-0.230866210976952 0.51044080335566 0.0571181771053302;0.0772028773960436 0.960909698860749 -0.897127892866184;0.98340744192391 -0.530434718674305 0.513750941969245]","[0.20395953255102 0.858968944851235;0.714337418244418 -0.180970133122369;0.976554278516228 -0.999317075563722]",0,1,2,1,-0.6511     0.66089       1.234,
2.6,100,20,80,"[-0.230866210976952 0.51044080335566 0.0571181771053302;0.0772028773960436 0.960909698860749 -0.897127892866184;0.98340744192391 -0.530434718674305 0.513750941969245]","[0.20395953255102 0.858968944851235;0.714337418244418 -0.180970133122369;0.976554278516228 -0.999317075563722]",0,1,2,1,-0.6511     0.66089       1.234,
0.5,100,5,95,"[0.0817566455260865 -0.348387474531556 0.497017914786584;-0.584538756007881 -0.808101166784831 0.0865988661702177;-0.561432823635139 0.495067323476606 -0.323735366951894]","[0.664667323241056 0.785666638636003;0.105144356051915 -0.286992765745991;0.915086233924042 0.0928037859837745]",0,1,2,1,0.020434-0.49575i        0.020434+0.49575i               -1.0909+0i,
1,100,2,98,"[0.0817566455260865 -0.348387474531556 0.497017914786584;-0.584538756007881 -0.808101166784831 0.0865988661702177;-0.561432823635139 0.495067323476606 -0.323735366951894]","[0.664667323241056 0.785666638636003;0.105144356051915 -0.286992765745991;0.915086233924042 0.0928037859837745]",0,1,2,1,0.020434-0.49575i        0.020434+0.49575i               -1.0909+0i,
1.5,100,2,98,"[0.0817566455260865 -0.348387474531556 0.497017914786584;-0.584538756007881 -0.808101166784831 0.0865988661702177;-0.561432823635139 0.495067323476606 -0.323735366951894]","[0.664667323241056 0.785666638636003;0.105144356051915 -0.286992765745991;0.915086233924042 0.0928037859837745]",0,1,2,1,0.020434-0.49575i        0.020434+0.49575i               -1.0909+0i,
2,100,4,96,"[0.0817566455260865 -0.348387474531556 0.497017914786584;-0.584538756007881 -0.808101166784831 0.0865988661702177;-0.561432823635139 0.495067323476606 -0.323735366951894]","[0.664667323241056 0.785666638636003;0.105144356051915 -0.286992765745991;0.915086233924042 0.0928037859837745]",0,1,2,1,0.020434-0.49575i        0.020434+0.49575i               -1.0909+0i,
2.2,100,4,96,"[0.0817566455260865 -0.348387474531556 0.497017914786584;-0.584538756007881 -0.808101166784831 0.0865988661702177;-0.561432823635139 0.495067323476606 -0.323735366951894]","[0.664667323241056 0.785666638636003;0.105144356051915 -0.286992765745991;0.915086233924042 0.0928037859837745]",0,1,2,1,0.020434-0.49575i        0.020434+0.49575i               -1.0909+0i,
2.4,100,2,98,"[0.0817566455260865 -0.348387474531556 0.497017914786584;-0.584538756007881 -0.808101166784831 0.0865988661702177;-0.561432823635139 0.495067323476606 -0.323735366951894]","[0.664667323241056 0.785666638636003;0.105144356051915 -0.286992765745991;0.915086233924042 0.0928037859837745]",0,1,2,1,0.020434-0.49575i        0.020434+0.49575i               -1.0909+0i,
2.6,100,1,99,"[0.0817566455260865 -0.348387474531556 0.497017914786584;-0.584538756007881 -0.808101166784831 0.0865988661702177;-0.561432823635139 0.495067323476606 -0.323735366951894]","[0.664667323241056 0.785666638636003;0.105144356051915 -0.286992765745991;0.915086233924042 0.0928037859837745]",0,1,2,1,0.020434-0.49575i        0.020434+0.49575i               -1.0909+0i,
0.5,100,100,0,"[-0.306636497490102 0.4917498030813 -0.949698997142996;0.245605581318261 -0.748927537290361 -0.171142238151937;0.593249370616792 0.644788013518041 0.462814935945874]","[0.562748000551926 0.784534376462215;-0.265428169737262 -0.514793227440661;0.489735712483345 -0.740806048324919]",1,1,3,0,0.17967-0.77713i         0.17967+0.77713i              -0.95208+0i,
